"market","coin","coinname"
"okex","Litecoin","Litecoin#okex"
"okex","Bitcoin","Bitcoin#okex"
"okex","Ethereum","Ethereum#okex"
"okex","Bitcoin Cash","Bitcoin Cash#okex"
"okex","Ethereum Classic","Ethereum Classic#okex"
"okex","IoT Chain","IoT Chain#okex"
"okex","aelf","aelf#okex"
"okex","ICON","ICON#okex"
"okex","Qtum","Qtum#okex"
"okex","EOS","EOS#okex"
"okex","Decentraland","Decentraland#okex"
"okex","Bitcoin Gold","Bitcoin Gold#okex"
"okex","Hshare","Hshare#okex"
"okex","IOTA","IOTA#okex"
"okex","Bitcoin Diamond","Bitcoin Diamond#okex"
"okex","Kyber Network","Kyber Network#okex"
"okex","OmiseGO","OmiseGO#okex"
"okex","NEO","NEO#okex"
"okex","Achain","Achain#okex"
"okex","Datum","Datum#okex"
"okex","MicroMoney","MicroMoney#okex"
"okex","Dash","Dash#okex"
"okex","Exchange Union","Exchange Union#okex"
"okex","Zcash","Zcash#okex"
"okex","Genaro Network","Genaro Network#okex"
"okex","TRON","TRON#okex"
"okex","Nuls","Nuls#okex"
"okex","Centra","Centra#okex"
"okex","ProChain","ProChain#okex"
"okex","Bytom","Bytom#okex"
"okex","BLOCKv","BLOCKv#okex"
"okex","FirstBlood","FirstBlood#okex"
"okex","Loopring","Loopring#okex"
"okex","DigiByte","DigiByte#okex"
"okex","FunFair","FunFair#okex"
"okex","TenX","TenX#okex"
"okex","Ripio Credit Network","Ripio Credit Network#okex"
"okex","BitcoinX [Futures]","BitcoinX [Futures]#okex"
"okex","Civic","Civic#okex"
"okex","Storj","Storj#okex"
"okex","SALT","SALT#okex"
"okex","Monaco","Monaco#okex"
"okex","NEM","NEM#okex"
"okex","Gas","Gas#okex"
"okex","Ace","Ace#okex"
"okex","ChainLink","ChainLink#okex"
"okex","Eidoo","Eidoo#okex"
"okex","0x","0x#okex"
"okex","SingularDTV","SingularDTV#okex"
"okex","district0x","district0x#okex"
"okex","Substratum","Substratum#okex"
"okex","Monetha","Monetha#okex"
"okex","DigixDAO","DigixDAO#okex"
